date,name,status,source,notification_ref
2026-02-05,Kashmir Day,official,Cabinet Division Government of Pakistan,Annual public holidays notification
2026-03-23,Pakistan Day,official,Cabinet Division Government of Pakistan,Annual public holidays notification
2026-03-21,Eid ul Fitr Day 1,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-03-22,Eid ul Fitr Day 2,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-03-24,Eid ul Fitr Day 3,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-05-01,Labour Day,official,Cabinet Division Government of Pakistan,Annual public holidays notification
2026-05-27,Eid ul Adha Day 1,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-05-28,Eid ul Adha Day 2,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-05-29,Eid ul Adha Day 3,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-06-25,Ashura Day 1,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-06-26,Ashura Day 2,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-08-14,Independence Day,official,Cabinet Division Government of Pakistan,Annual public holidays notification
2026-09-25,Eid Milad-un-Nabi,official,Cabinet Division Government of Pakistan,Official holiday notification required each year
2026-12-25,Quaid e Azam Day and Christmas,official,Cabinet Division Government of Pakistan,Annual public holidays notification
